"address","type","parking_space","area","district_city","nearest_subway_station"
"191028, Сакт-Петербург, Литейный проспект, 30","Платная",3,6,"Центральный","Маяковская"
"191028, Сакт-Петербург, Литейный проспект, 28","Платная",7,14,"Центральный","Маяковская"
"191028, Сакт-Петербург, Литейный проспект, 26","Платная",17,34,"Центральный","Маяковская"
"191028, Сакт-Петербург, Литейный проспект, 20","Платная",14,28,"Центральный","Маяковская"
"191028, Сакт-Петербург, Литейный проспект, 31","Платная",26,52,"Центральный","Маяковская"
"191014, Сакт-Петербург, Литейный проспект, 39-41","Платная",14,28,"Центральный","Маяковская"
"191014, Сакт-Петербург, Литейный проспект, 49","Платная",15,30,"Центральный","Маяковская"
"191014, Сакт-Петербург, Литейный проспект, 53","Платная",10,20,"Центральный","Маяковская"
"191014, Сакт-Петербург, Литейный проспект, 57","Платная",36,72,"Центральный","Маяковская"
"191014, Сакт-Петербург, улица Короленко, дом 1","Платная",6,12,"Центральный","Маяковская"
"191014, Сакт-Петербург, улица Короленко, дом 2","Платная",6,12,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Короленко, дом 8","Платная",28,56,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Короленко, дом 7","Платная",28,56,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Короленко, 7","Платная",4,8,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Чехова, дом 16","Платная",16,32,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Чехова, дом 6","Платная",21,42,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Чехова, дом 5","Платная",32,64,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Чехова, дом 17/9","Платная",3,6,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Маяковского, 56/13","Платная",5,10,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Маяковского, дом 14","Платная",7,14,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Маяковского, 52","Платная",5,10,"Центральный","Чернышевская"
"191123, Сакт-Петербург, улица Маяковского, дом 37","Платная",8,16,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Маяковского, 48","Платная",8,16,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Маяковского, дом 39","Платная",7,14,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Маяковского, 44","Платная",7,14,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Маяковского, дом 35","Платная",7,14,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Маяковского, 36","Платная",18,36,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Маяковского, дом 31","Платная",4,8,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Маяковского, дом 29","Платная",2,4,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Маяковского, дом 25","Платная",9,18,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Маяковского, 30","Платная",14,28,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Маяковского, дом 15","Платная",18,36,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Маяковского, 26","Платная",17,34,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Маяковского, 20","Платная",18,36,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Маяковского, дом 11","Платная",21,42,"Центральный","Маяковская"
"191014, Сакт-Петербург, улица Маяковского, 5","Платная",43,86,"Центральный","Маяковская"
"191025, Сакт-Петербург, улица Маяковского, 6","Платная",7,14,"Центральный","Маяковская"
"191025, Сакт-Петербург, улица Маяковского, 4","Платная",5,10,"Центральный","Маяковская"
"191025, Сакт-Петербург, улица Маяковского, 2","Платная",6,12,"Центральный","Маяковская"
"191025, Сакт-Петербург, улица Маяковского, дом 1/96","Платная",25,50,"Центральный","Маяковская"
"191025, Сакт-Петербург, улица Маяковского, дом 3","Платная",9,18,"Центральный","Маяковская"
"191014, Сакт-Петербург, улица Маяковского, дом 5","Платная",5,10,"Центральный","Маяковская"
"191014, Сакт-Петербург, улица Маяковского, дом 5 б","Платная",13,26,"Центральный","Маяковская"
